datetime,cell_id,vehicle_id,speed,longitude,latitude,lane_id,running_position,acting_frequency,transmission_power,traffic_rules_obeyed,processing_power,available_storage,distance,resources,group_leader
2024-05-13 09:43:42,"(3, 5)",veh69,0.0,127.03479642747426,37.49814967247717,117823788#3_0,0.0,7,3.682728517798156,True,1.096889967969233,94,5919.95488530431,47.548444983984616,True
2024-05-13 09:43:36,"(3, 5)",veh19,0.0,127.02535849939764,37.50272146446248,521766180#1_6,0.0,2,0.3725620073937548,False,2.62665768444974,60,5919.955953915437,31.31332884222487,False
2024-05-13 09:43:36,"(3, 5)",veh18,0.0,127.02756162079504,37.49857750954583,520307304#0-AddedOnRampEdge_1,0.0,12,1.5123178267804802,False,1.4117266972598397,66,5919.95832235506,33.70586334862992,False
2024-05-13 09:43:42,"(3, 5)",veh67,0.0,127.03450750883889,37.49628098291749,-176732665#1_0,0.0,1,2.1299692701115016,True,2.5925472063664854,85,5919.956627097383,43.796273603183245,False
2024-05-13 09:43:42,"(3, 5)",veh65,0.0,127.02644409444332,37.500470619793376,521770119#1_6,0.0,8,4.65733590503184,False,1.2665075982209717,90,5919.957298714467,45.63325379911048,False
2024-05-13 09:43:43,"(3, 5)",veh74,0.0,127.03199178208938,37.50117696864056,-117790039#4_0,0.0,4,3.5622344944464355,True,1.5546026812224751,4,5919.953783017482,2.777301340611237,False
2024-05-13 09:43:42,"(3, 5)",veh64,0.0,127.0311675767861,37.494813932337344,-417933647#1_0,0.0,8,1.1376724995541732,False,1.5993715979802992,26,5919.959630115639,13.799685798990147,False
2024-05-13 09:43:42,"(3, 5)",veh63,0.0,127.02621616470924,37.50110860318965,521770119#2_4,0.0,8,1.264428858529193,False,1.97361073431121,84,5919.956875630204,42.9868053671556,False
2024-05-13 09:43:35,"(3, 5)",veh12,0.0,127.03127938449224,37.50361372831165,-800742035_0,0.0,13,3.2104171933483965,False,2.2862759733616858,75,5919.952083955291,38.64313798668084,False
2024-05-13 09:43:45,"(3, 5)",veh87,0.0,127.0249671556968,37.49543151067373,1056882877#11_0,0.0,6,4.704573107849737,True,1.2475688417365027,58,5919.962362269564,29.62378442086825,False
2024-05-13 09:43:44,"(3, 5)",veh80,0.0,127.02592901231642,37.50167965754485,521766180#0_4,0.0,2,2.3470130033821195,True,1.3215524556222986,40,5919.956540608307,20.660776227811148,False
2024-05-13 09:43:37,"(3, 5)",veh32,0.0,127.02473754212431,37.503377448539794,521766175#2_0,0.0,2,4.954951071532774,True,1.5543332723286427,92,5919.955722007659,46.77716663616432,False
2024-05-13 09:43:38,"(3, 5)",veh33,0.0,127.0320216931428,37.495562048954575,-379232161#4_0,0.0,3,1.2867187716948194,True,1.6407387911431883,39,5919.958544828644,20.320369395571596,False
2024-05-13 09:43:40,"(3, 5)",veh54,0.0,127.02670967702916,37.49988904848219,521770119#0_6,0.0,20,4.792596026225766,False,2.0196938207139823,52,5919.957654017471,27.00984691035699,False
2024-05-13 09:43:45,"(3, 5)",veh90,52.14,127.02688054921968,37.503516772091565,-802110008_0,0.0,17,1.4644317916949234,False,2.2280621887719896,76,5919.954477550039,39.11403109438599,False
2024-05-13 09:43:34,"(3, 5)",veh6,0.0,127.0331662597197,37.5033081114989,-117790055#1_0,0.0,11,1.3392475833585378,True,1.2311164031587782,87,5919.951352650949,44.11555820157939,False
2024-05-13 09:43:46,"(3, 5)",veh100,0.0,127.03127938449224,37.50361372831165,-800742035_0,0.0,1,2.1051781158824574,True,2.8725980387903665,28,5919.952083955291,15.436299019395182,False
2024-05-13 09:43:33,"(3, 5)",veh1,0.0,127.0345921227741,37.503126028270266,-417746802#1_0,0.0,7,0.5058280471382856,True,2.0944762332871614,14,5919.95075844724,8.04723811664358,False
2024-05-13 09:43:37,"(3, 5)",veh31,0.0,127.02605834478922,37.50060188268214,218877837#1_0,0.0,5,2.2458800921657978,True,1.510166719881069,77,5919.957389696379,39.255083359940535,False
2024-05-13 09:43:38,"(3, 5)",veh36,0.0,127.02644409444332,37.500470619793376,521770119#1_6,0.0,6,0.4469591775450218,False,1.2483513074329724,9,5919.957298714467,5.124175653716486,False
2024-05-13 09:43:46,"(3, 5)",veh95,0.0,127.02873646576413,37.49503053531053,218873820#3_0,0.0,13,0.1212393148713999,False,2.8401123695756016,53,5919.960723092796,27.9200561847878,False
2024-05-13 09:43:46,"(3, 5)",veh99,0.0,127.0295027109794,37.49955127607858,129731858#3_0,0.0,4,4.278994624637459,False,2.268862565804368,3,5919.956473987279,2.634431282902184,False
2024-05-13 09:43:44,"(3, 5)",veh79,0.0,127.0320216931428,37.495562048954575,-379232161#4_0,0.0,12,1.350719750580415,False,2.923439354389075,68,5919.958544828644,35.46171967719454,False
2024-05-13 09:43:37,"(3, 5)",veh28,0.0,127.02749382195222,37.50008376524944,256787796#3_0,0.0,3,4.20245540244733,False,2.716061397365573,4,5919.957076359442,3.3580306986827866,False
2024-05-13 09:43:46,"(3, 5)",veh96,0.0,127.02879954385315,37.49824921717129,975332778#2_0,0.0,2,2.5047156900370604,False,1.6653245561917205,8,5919.957951296258,4.83266227809586,False
